Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
372,MarJon Beauchamp,23,MIL,SF,48,1,12.7,1.7,3.5,0.488,0.6,1.6,0.4,1.1,1.9,0.56,0.578,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4,,beaucma01
373,Joe Ingles,36,ORL,SF,68,0,17.2,1.5,3.3,0.436,1,2.4,0.435,0.4,1,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3,4.4,,inglejo01
374,Maxi Kleber,32,DAL,C,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,,klebima01
375,Jontay Porter,24,TOR,PF,26,5,13.8,1.5,4,0.385,0.8,2.3,0.333,0.8,1.7,0.455,0.481,0.6,0.7,0.833,1,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,,portejo01
376,Lester Quiñones,23,GSW,SG,37,0,10.6,1.5,3.8,0.397,0.9,2.4,0.364,0.6,1.4,0.453,0.511,0.5,0.8,0.69,0.6,1.4,1.9,1,0.2,0.1,0.5,1.2,4.4,,quinole01
377,Ben Sheppard,22,IND,SG,57,1,14.3,1.6,4,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0,0.3,1.5,4.4,,sheppbe01
378,Blake Wesley,20,SAS,SG,61,3,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4,,weslebl01
379,Jeff Dowtin,26,PHI,PG,12,0,11.8,1.7,3,0.556,0.8,1.6,0.474,0.9,1.4,0.647,0.681,0.3,0.3,0.75,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3,,dowtije01
380,Jaxson Hayes,23,LAL,C,70,5,12.5,1.8,2.5,0.72,0,0.1,0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8,4.3,,hayesja02
381,Caleb Houstan,21,ORL,SF,59,13,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1,4.3,,houstca01
382,John Konchar,27,MEM,SF,55,23,21.3,1.6,3.8,0.423,0.7,2.2,0.317,0.9,1.6,0.568,0.514,0.4,0.5,0.84,1.3,3.4,4.7,2,0.9,0.9,0.8,1.4,4.3,,konchjo01
383,Dru Smith,26,MIA,SG,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,,smithdr01
384,Thaddeus Young,35,2TM,PF,33,6,13.3,2,3.3,0.602,0,0.2,0.143,1.9,3.1,0.634,0.606,0.2,0.5,0.4,1.4,1.7,3.1,1.7,0.7,0.2,0.5,1.5,4.2,,youngth01
384,Thaddeus Young,35,TOR,PF,23,6,15.2,2.3,3.8,0.621,0,0.3,0.167,2.3,3.5,0.654,0.626,0.2,0.5,0.417,1.3,2,3.3,2.2,0.8,0.1,0.5,1.7,5,,youngth01
384,Thaddeus Young,35,PHO,PF,10,0,8.9,1.1,2.1,0.524,0,0.1,0,1.1,2,0.55,0.524,0.1,0.3,0.333,1.7,1.1,2.8,0.7,0.5,0.2,0.4,1.1,2.3,,youngth01
385,Jacob Gilyard,25,2TM,PG,41,14,17,1.5,3.7,0.4,1.2,3.1,0.405,0.2,0.6,0.375,0.57,0,0,1,0.2,0.9,1.1,3.3,0.8,0.1,0.7,1,4.2,,gilyaja01
385,Jacob Gilyard,25,MEM,PG,37,14,17.7,1.6,3.9,0.417,1.4,3.2,0.425,0.2,0.6,0.375,0.594,0.1,0.1,1,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7,,gilyaja01
385,Jacob Gilyard,25,BRK,PG,4,0,11.3,0,1.5,0,0,1.5,0,0,0,,0,0,0,,0.3,0.5,0.8,1.5,1.5,0,0.3,1,0,,gilyaja01
386,Armoni Brooks,25,BRK,PG,10,0,10.4,1.5,4.6,0.326,1.1,3.2,0.344,0.4,1.4,0.286,0.446,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,,brookar01
387,Troy Brown Jr.,24,2TM,SF,59,15,14,1.4,3.8,0.372,0.8,2.4,0.333,0.6,1.4,0.435,0.476,0.5,0.6,0.865,0.4,2,2.4,1,0.4,0.1,0.5,0.7,4.2,,browntr01
387,Troy Brown Jr.,24,MIN,SF,37,3,11.1,1.4,3.2,0.441,0.8,2.3,0.369,0.6,0.9,0.618,0.572,0.5,0.6,0.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2,,browntr01
387,Troy Brown Jr.,24,DET,SF,22,12,19,1.5,4.9,0.296,0.7,2.6,0.281,0.7,2.3,0.314,0.37,0.6,0.7,0.867,0.5,2.8,3.3,1.1,0.7,0,0.5,0.7,4.2,,browntr01
388,Max Christie,20,LAL,SG,67,7,14.1,1.5,3.6,0.427,0.6,1.8,0.356,0.9,1.8,0.496,0.515,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2,,chrisma02
389,Ashton Hagans,24,POR,PG,19,1,16.6,1.5,3.7,0.408,0.4,1.3,0.32,1.1,2.4,0.457,0.465,0.7,0.9,0.824,0.7,1.6,2.4,2.8,0.6,0.5,1.6,2.1,4.2,,haganas01
390,Danuel House Jr.,30,PHI,SF,34,4,15,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,,houseda01
391,Skylar Mays,26,2TM,SG,38,5,11.4,1.7,4.2,0.396,0.4,1.4,0.296,1.2,2.8,0.448,0.447,0.3,0.4,0.765,0.3,0.9,1.1,2.2,0.6,0.1,0.5,0.7,4.1,,mayssk01
391,Skylar Mays,26,POR,PG,21,5,17,2.5,6.6,0.384,0.7,2.3,0.286,1.9,4.2,0.438,0.435,0.6,0.8,0.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1,6.3,,mayssk01
391,Skylar Mays,26,LAL,SG,17,0,4.5,0.6,1.2,0.476,0.1,0.3,0.4,0.5,0.9,0.5,0.524,0,0,,0.1,0.3,0.4,0.6,0.4,0.1,0.1,0.4,1.3,,mayssk01
392,Sandro Mamukelashvili,24,SAS,C,46,5,9.8,1.6,3.4,0.471,0.4,1.4,0.297,1.2,2,0.593,0.532,0.5,0.7,0.735,1,2.2,3.2,1.1,0.2,0.3,0.4,0.8,4.1,,mamuksa01
393,Luka _amani_,24,UTA,PF,43,7,9.4,1.4,3.7,0.38,0.3,1.5,0.203,1.1,2.2,0.5,0.421,1,1.3,0.786,0.5,1.9,2.4,0.4,0.1,0.2,0.7,0.7,4.1,,samanlu01
394,Jae'Sean Tate,28,HOU,SF,65,9,15.9,1.7,3.5,0.472,0.4,1.2,0.299,1.3,2.3,0.559,0.522,0.4,0.6,0.667,0.9,2.1,3,1,0.6,0.2,0.6,2.1,4.1,,tateja01
395,Patty Mills,35,2TM,PG,32,5,13,1.4,4.1,0.351,0.8,2.7,0.276,0.7,1.4,0.5,0.443,0.3,0.3,1,0.3,0.8,1.1,1.1,0.6,0,0.5,1,4,,millspa02
395,Patty Mills,35,ATL,PG,19,0,10.6,1,2.7,0.373,0.7,1.8,0.382,0.3,0.9,0.353,0.5,0,0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,,millspa02
395,Patty Mills,35,MIA,PG,13,5,16.4,2.1,6.2,0.338,0.8,4.1,0.208,1.2,2.1,0.593,0.406,0.8,0.8,1,0.3,0.8,1.2,1.5,0.8,0,0.6,1.2,5.8,,millspa02
396,Izaiah Brockington,24,NOP,PG,1,0,3,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,1,1,2,0,0,0,0,0,4,,brockiz01
397,Ousmane Dieng,20,OKC,PF,33,0,11.1,1.5,3.5,0.422,0.6,2.1,0.3,0.8,1.4,0.609,0.513,0.4,0.5,0.875,0.3,1.2,1.5,1.1,0.2,0.2,0.6,0.7,4,,diengou01
398,Luka Garza,25,MIN,C,25,0,4.9,1.4,3,0.48,0.4,1.3,0.281,1.1,1.7,0.628,0.54,0.7,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4,,garzalu01
399,Mouhamed Gueye,21,ATL,PF,6,0,12.2,1.3,3.8,0.348,0.5,1.5,0.333,0.8,2.3,0.357,0.413,0.8,1,0.833,1.7,2,3.7,0.7,0.8,0.7,0.2,2.2,4,,gueyemo02
400,Justin Holiday,34,DEN,SG,58,9,14.9,1.5,3.3,0.454,0.9,2.3,0.404,0.6,1,0.569,0.595,0.1,0.1,0.75,0.2,1.1,1.2,1.2,0.6,0.2,0.2,1.2,4,,holidju01
401,Matthew Hurt,23,MEM,PF,8,0,14.1,1.5,4.3,0.353,0.6,2.5,0.25,0.9,1.8,0.5,0.426,0.4,0.4,1,1.1,0.9,2,0.5,0.4,0.4,0.3,1,4,,hurtma01
402,JaVale McGee,36,SAC,C,46,0,7.4,1.7,2.9,0.598,0,0.2,0.143,1.7,2.7,0.624,0.602,0.6,1,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1,4,,mcgeeja01
403,Svi Mykhailiuk,26,BOS,SF,41,2,10.1,1.4,3.3,0.416,1,2.6,0.389,0.4,0.7,0.517,0.569,0.1,0.2,0.667,0.3,1,1.2,0.9,0.3,0,0.3,0.5,4,,mykhasv01
404,Rayan Rupert,19,POR,SG,39,12,16.2,1.4,4.1,0.335,0.7,2,0.359,0.7,2.1,0.313,0.422,0.5,0.6,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,1.4,4,,ruperra01
405,Adama Sanogo,21,CHI,PF,9,0,7.3,1.6,3,0.519,0,0,,1.6,3,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4,0,0.1,0,0.6,0.6,4,,sanogad01
406,Jaylin Williams,21,OKC,C,69,1,13,1.4,3.3,0.417,0.8,2.1,0.368,0.6,1.2,0.5,0.533,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4,,willija07
407,Jules Bernard,24,WAS,SG,19,0,7.8,1.5,3.4,0.453,0.6,1.5,0.379,0.9,1.8,0.514,0.539,0.3,0.5,0.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,0.7,3.9,,bernaju01
408,Chris Duarte,26,SAC,SF,59,11,12.2,1.4,3.6,0.381,0.7,2.2,0.346,0.6,1.4,0.434,0.486,0.4,0.6,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.9,,duartch01
409,DeAndre Jordan,35,DEN,C,36,2,11,1.6,2.6,0.624,0,0,,1.6,2.6,0.624,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9,,jordade01
410,Sidy Cissoko,19,SAS,SF,12,0,11.8,1.3,2.8,0.485,0.1,1,0.083,1.3,1.8,0.714,0.5,1,1.3,0.8,0.7,1.2,1.8,0.8,0.6,0.3,0.3,1.5,3.8,,cissosi01
411,Anthony Gill,31,WAS,PF,50,3,9.3,1.5,3.2,0.469,0.2,0.8,0.244,1.3,2.4,0.546,0.5,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1,3.8,,gillan01
412,KJ Martin,23,2TM,SF,60,2,12.4,1.6,3,0.536,0.1,0.5,0.286,1.5,2.6,0.582,0.558,0.4,0.7,0.537,0.7,1.5,2.2,0.9,0.4,0.2,0.5,1.7,3.7,,martike04
412,KJ Martin,23,LAC,SF,2,0,15.5,2,5,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,1,1.5,5,,martike04
412,KJ Martin,23,PHI,SF,58,2,12.3,1.6,2.9,0.544,0.1,0.4,0.304,1.5,2.6,0.581,0.564,0.4,0.7,0.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,1.7,3.7,,martike04
413,Keita Bates-Diop,28,2TM,SF,53,8,12.5,1.4,3.1,0.434,0.4,1.3,0.304,1,1.8,0.526,0.497,0.6,0.8,0.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,0.7,3.7,,bateske01
413,Keita Bates-Diop,28,PHO,SF,39,8,15.3,1.6,3.8,0.427,0.5,1.6,0.313,1.1,2.2,0.512,0.493,0.7,0.9,0.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5,,bateske01
413,Keita Bates-Diop,28,BRK,SF,14,0,4.9,0.6,1.1,0.5,0.1,0.4,0.2,0.5,0.8,0.636,0.531,0.4,0.4,1,0.1,0.6,0.6,0.3,0.2,0.1,0.1,0.1,1.6,,bateske01
414,Oshae Brissett,25,BOS,SF,55,1,11.5,1.2,2.8,0.444,0.3,1,0.273,1,1.8,0.541,0.493,0.9,1.5,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,1,3.7,,brissos01
415,Jamal Cain,24,MIA,PF,26,1,10,1.3,3,0.43,0.4,1.2,0.355,0.9,1.8,0.479,0.5,0.7,0.9,0.783,0.6,0.8,1.4,0.4,0.4,0.2,0.3,0.8,3.7,,cainja01
416,Drew Peterson,24,BOS,PF,3,0,7.7,1.3,2,0.667,1,1.7,0.6,0.3,0.3,1,0.917,0,0,,0,0.3,0.3,0.3,0.7,0,0.3,0.3,3.7,,peterdr01
417,T.J. Warren,30,MIN,SF,11,0,11.4,1.6,3.7,0.439,0.2,1.2,0.154,1.5,2.5,0.571,0.463,0.3,0.4,0.75,0.5,1.5,2,0.8,0.4,0.1,0.4,1,3.7,,warretj01
418,James Bouknight,23,CHO,SG,14,0,5.8,1.3,2.9,0.439,0.9,2.1,0.433,0.4,0.8,0.455,0.598,0.1,0.1,0.5,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6,,bouknja01
419,Collin Gillespie,24,DEN,PG,24,0,9.4,1.3,2.9,0.464,0.6,1.6,0.395,0.7,1.3,0.548,0.572,0.3,0.5,0.667,0,0.8,0.9,1.1,0.5,0,0.6,1,3.6,,gilleco01
420,Gui Santos,21,GSW,PF,23,0,8.3,1.2,2.4,0.509,0.4,1.2,0.37,0.8,1.2,0.643,0.6,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1,3.6,,santogu01
421,Jarace Walker,20,IND,PF,33,0,10.3,1.4,3.3,0.409,0.7,1.7,0.4,0.7,1.7,0.418,0.509,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6,,walkeja02
422,Lindy Waters III,26,OKC,SG,38,0,7.4,1.3,2.7,0.471,1,2.2,0.435,0.3,0.5,0.632,0.649,0.1,0.1,1,0.2,0.9,1.1,0.6,0.1,0.2,0.2,0.6,3.6,,waterli01
423,Théo Maledon,22,2TM,PG,17,1,12.5,1.2,4.1,0.286,0.3,1.8,0.167,0.9,2.4,0.375,0.321,0.8,0.9,0.933,0.2,1.2,1.4,1.6,0.4,0,1.1,1.2,3.5,,maledth01
423,Théo Maledon,22,CHO,PG,13,1,15.4,1.5,5.1,0.288,0.4,2.3,0.167,1.1,2.8,0.389,0.326,0.8,0.9,0.917,0.3,1.5,1.8,2.2,0.5,0,1.2,1.4,4.2,,maledth01
423,Théo Maledon,22,PHO,PG,4,0,3.3,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.8,0.8,1,0,0.3,0.3,0,0,0,0.8,0.8,1.3,,maledth01
424,Onuralp Bitim,24,CHI,SG,23,1,11.7,1.4,3.7,0.381,0.5,1.9,0.273,0.9,1.7,0.5,0.452,0.2,0.2,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,1,3.5,,bitimon01
425,Jordan McLaughlin,27,MIN,PG,56,0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1,0.5,0.628,0.2,0.3,0.722,0.3,1,1.3,2,0.6,0.1,0.3,0.6,3.5,,mclaujo01
426,Marques Bolden,25,2TM,C,11,2,11,1.5,2.3,0.68,0,0.1,0,1.5,2.2,0.708,0.68,0.3,0.4,0.75,0.9,2.2,3.1,0.4,0.3,0.6,0.3,0.9,3.4,,boldema01
426,Marques Bolden,25,MIL,C,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0.5,0,,boldema01
426,Marques Bolden,25,CHO,C,9,2,13.1,1.9,2.8,0.68,0,0.1,0,1.9,2.7,0.708,0.68,0.3,0.4,0.75,1.1,2.4,3.6,0.4,0.3,0.8,0.3,1,4.1,,boldema01
427,Ryan Rollins,21,2TM,PG,13,0,6,1.1,2.1,0.519,0.2,0.3,0.75,0.8,1.8,0.478,0.574,1,1.3,0.765,0.2,0.8,1,1.1,0.8,0.2,0.6,0.6,3.4,,rolliry01
427,Ryan Rollins,21,WAS,PG,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,,rolliry01
427,Ryan Rollins,21,MIL,PG,3,0,4,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0.7,0.7,1,0.7,0,0.3,0.3,1,,rolliry01
428,Yuta Watanabe,29,2TM,SF,34,0,13.6,1.2,3.4,0.353,0.7,2.5,0.294,0.5,0.9,0.516,0.461,0.3,0.5,0.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,1.1,3.4,,watanyu01
428,Yuta Watanabe,29,PHO,SF,29,0,13.2,1.2,3.3,0.361,0.8,2.6,0.32,0.4,0.8,0.5,0.485,0.3,0.5,0.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,1.2,3.6,,watanyu01
428,Yuta Watanabe,29,MEM,SF,5,0,16.4,1.2,3.8,0.316,0.2,2,0.1,1,1.8,0.556,0.342,0,0.4,0,0,1.8,1.8,1,0.6,0,0.6,1,2.6,,watanyu01
429,Buddy Boeheim,24,DET,SF,10,0,8.4,0.9,2.9,0.31,0.8,2.5,0.32,0.1,0.4,0.25,0.448,0.8,1,0.8,0.3,0.7,1,0.3,0,0.1,0,0.5,3.4,,boehebu01
430,Moses Brown,24,POR,C,22,5,9.1,1.5,3,0.508,0,0,,1.5,3,0.508,0.508,0.4,1.4,0.29,1.7,2.2,3.9,0.3,0.2,0.3,0.5,1.2,3.4,,brownmo01
431,Wenyen Gabriel,26,MEM,PF,5,0,16.2,1.6,4.4,0.364,0.2,1.2,0.167,1.4,3.2,0.438,0.386,0,1,0,1.4,3.6,5,0.6,0.4,0.4,1.6,2,3.4,,gabriwe01
432,Nassir Little,23,PHO,SF,45,2,10.2,1.3,2.8,0.46,0.5,1.6,0.3,0.8,1.2,0.667,0.544,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4,,littlna01
433,Jalen McDaniels,26,TOR,SF,50,1,10.8,1.3,3.8,0.344,0.2,1.4,0.169,1.1,2.4,0.449,0.376,0.5,0.7,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1,3.4,,mcdanja01
434,Jaden Springer,21,2TM,PG,49,2,10.3,1.2,3,0.399,0.2,1,0.208,1,2,0.49,0.432,0.7,0.9,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,1.3,3.3,,sprinja01
434,Jaden Springer,21,PHI,SG,32,1,11.8,1.4,3.7,0.39,0.3,1.2,0.216,1.2,2.5,0.469,0.424,0.9,1.1,0.824,0.8,1,1.8,1.1,0.8,0.3,0.8,1.5,4,,sprinja01
434,Jaden Springer,21,BOS,PG,17,1,7.6,0.8,1.8,0.433,0.1,0.6,0.182,0.6,1.1,0.579,0.467,0.4,0.5,0.875,0.5,0.7,1.2,0.5,0.6,0.2,0.5,1,2.1,,sprinja01
435,Charles Bassey,23,SAS,C,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3,,bassech01
436,Micah Potter,25,UTA,PF,16,0,11.6,1.2,2.5,0.475,0.6,1.3,0.429,0.6,1.2,0.526,0.588,0.4,0.5,0.75,0.6,2.1,2.7,0.4,0.3,0.4,0.3,0.9,3.3,,pottemi01
437,Dwight Powell,32,DAL,C,63,9,13.3,1.1,1.7,0.679,0,0,0.333,1.1,1.6,0.689,0.684,1,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3,,poweldw01
438,Terquavion Smith,21,PHI,PG,16,0,5.3,1.1,2.9,0.391,0.8,2.2,0.371,0.3,0.7,0.455,0.533,0.2,0.3,0.6,0,0.3,0.3,0.8,0.5,0,0.4,0.5,3.3,,smithte01
439,Garrett Temple,37,TOR,SG,27,2,10.7,1.1,2.9,0.372,0.4,1.5,0.3,0.6,1.4,0.447,0.449,0.7,0.8,0.818,0.7,1,1.7,1,0.4,0.1,0.5,1,3.3,,templga01
440,Tristan Thompson,32,CLE,C,49,0,11.2,1.5,2.4,0.608,0,0,0,1.5,2.4,0.613,0.608,0.3,1.1,0.288,1.5,2.1,3.6,1,0.2,0.3,0.6,1.2,3.3,,thomptr01
441,Oscar Tshiebwe,24,IND,PF,8,0,5.3,1.3,2.5,0.5,0,0,,1.3,2.5,0.5,0.5,0.8,1,0.75,1,1,2,0.3,0.3,0.1,0,0.4,3.3,,tshieos01
442,Kira Lewis Jr.,22,3TM,PG,28,0,9.5,1.2,3.3,0.37,0.1,1.2,0.121,1.1,2.1,0.508,0.391,0.6,0.7,0.85,0.3,0.6,0.9,1.3,0.3,0.1,0.5,0.5,3.2,,lewiski01
442,Kira Lewis Jr.,22,NOP,PG,15,0,9.6,1.1,3.5,0.308,0.1,1.3,0.1,0.9,2.1,0.438,0.327,0.7,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,,lewiski01
442,Kira Lewis Jr.,22,TOR,PG,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,,lewiski01
442,Kira Lewis Jr.,22,UTA,PG,12,0,9.9,1.5,3.3,0.45,0.2,1.1,0.154,1.3,2.3,0.593,0.475,0.6,0.8,0.778,0.4,0.6,1,1.6,0.3,0.1,0.5,0.3,3.8,,lewiski01
443,A.J. Lawson,23,DAL,SG,42,0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,,lawsoaj01
444,Boban Marjanovi_,35,HOU,C,14,0,5.1,1.3,2.4,0.529,0,0.1,0,1.3,2.3,0.563,0.529,0.6,1,0.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,0.4,3.2,,marjabo01
445,Zeke Nnaji,23,DEN,PF,58,0,9.9,1.2,2.6,0.463,0.1,0.4,0.261,1.1,2.2,0.5,0.483,0.7,1.1,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,1.4,3.2,,nnajize01
446,Ish Smith,35,CHO,PG,43,5,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2,,smithis01
447,JT Thor,21,CHO,PF,63,3,12.4,1.3,2.9,0.437,0.4,1.3,0.346,0.8,1.6,0.51,0.514,0.2,0.3,0.55,0.7,1.6,2.3,0.5,0.2,0.4,0.2,1,3.2,,thorjt01
448,Brandon Williams,24,DAL,PG,17,0,6.6,1.2,3.2,0.37,0.2,0.9,0.2,1,2.3,0.436,0.398,0.6,1,0.647,0.2,0.5,0.8,1,0.1,0.1,0.4,0.2,3.2,,willibr03
449,Wesley Matthews,37,ATL,SG,36,3,11.5,0.9,2.7,0.351,0.7,1.9,0.348,0.3,0.8,0.357,0.474,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1,,matthwe02
450,Dalen Terry,21,CHI,SG,59,2,11.5,1.2,2.7,0.439,0.3,1.3,0.23,0.9,1.4,0.627,0.494,0.4,0.7,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,1.4,3.1,,terryda01
451,Gabe Vincent,27,LAL,PG,11,0,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0,0.5,1.7,3.1,,vincega01
452,Mike Muscala,32,3TM,C,53,6,11.3,1.1,2.9,0.359,0.5,1.8,0.292,0.5,1.1,0.467,0.449,0.3,0.5,0.68,0.7,1.6,2.4,0.7,0.2,0.2,0.4,1,3,,muscami01
452,Mike Muscala,32,WAS,C,24,2,14.1,1.4,3.8,0.367,0.6,2.1,0.275,0.8,1.6,0.487,0.444,0.6,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4,,muscami01
452,Mike Muscala,32,DET,C,13,4,13.2,1.2,3.4,0.341,1,2.6,0.382,0.2,0.8,0.2,0.489,0.2,0.3,0.5,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1,3.5,,muscami01
452,Mike Muscala,32,OKC,C,16,0,5.7,0.5,1.4,0.364,0.1,0.7,0.091,0.4,0.7,0.636,0.386,0,0.1,0,0.4,0.9,1.3,0.3,0.1,0.1,0.3,0.5,1.1,,muscami01
453,Johnny Davis,21,WAS,SG,50,6,12.3,1.2,3.1,0.403,0.3,0.8,0.35,1,2.3,0.421,0.448,0.3,0.5,0.583,0.4,1.1,1.4,0.6,0.4,0.2,0.3,1.1,3,,davisjo06
454,Saben Lee,24,PHO,PG,24,0,7.7,0.8,2.3,0.364,0.1,0.7,0.125,0.8,1.6,0.462,0.382,1.2,1.6,0.744,0.4,0.9,1.3,1.3,0.3,0.1,0.3,0.5,3,,leesa01
455,Olivier-Maxence Prosper,21,DAL,PF,40,1,8.4,1,2.6,0.385,0.3,1.1,0.289,0.7,1.5,0.458,0.447,0.7,1,0.683,0.6,1.4,2,0.6,0.2,0.1,0.2,0.5,3,,prospol01
456,Trevelin Queen,26,ORL,SG,14,0,11.8,1,2.7,0.368,0.2,1.2,0.176,0.8,1.5,0.524,0.408,0.6,0.9,0.75,0.2,1.2,1.4,1.3,0.5,0.4,0.5,1.1,2.9,,queentr01
457,Jeremiah Robinson-Earl,23,NOP,PF,39,1,8.6,1.2,2.4,0.474,0.3,1,0.333,0.8,1.4,0.571,0.542,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6,2.9,,robinje02
458,Jeenathan Williams,24,HOU,SG,22,0,5.9,1.2,2.3,0.54,0.1,0.2,0.4,1.1,2,0.556,0.56,0.3,0.6,0.538,0.5,0.5,1,0.3,0.2,0,0.2,0.5,2.9,,willije02
459,D.J. Carton,23,TOR,SG,4,0,9,0.8,2,0.375,0.3,1,0.25,0.5,1,0.5,0.438,1,1.3,0.8,0.5,0.5,1,0.8,0.3,0,0.3,0.8,2.8,,cartodj01
460,Henri Drell,23,CHI,SF,4,0,7.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0.3,0.5,0.5,0.3,0.8,1,1,0.5,0.3,0.5,1.5,2.8,,drellhe01
